# === Sacred Repository Backup Scroll ===
# Conjured on: Sat May 10 07:37:55 AM EDT 2025
# Last Full Scan: Thu Jul 24 06:46:08 AM EDT 2025
# Format: repository_url,directory_name
# This scroll is updated on each run, preserving existing entries.

http://github.com/comShadowHarvy/betterstrap,betterstrap
http://github.com/comShadowHarvy/conf,conf
https://github.com/0xb1b1/docker-files,docker-files
https://github.com/aaronrausch/ascii-weather,ascii-weather
https://github.com/Abdess/retroarch_system,retroarch_system
https://github.com/adi1090x/plymouth-themes,plymouth-themes
https://github.com/alewmoose/2048-in-terminal,2048-in-terminal
https://github.com/AngelJumbo/lavat,lavat
https://github.com/Annex-Engineering/klipper_estimator,klipper_estimator
https://github.com/archcraft-os/archcraft,archcraft
https://github.com/Ariescyn/EldenRing-Save-Manager,EldenRing-Save-Manager
https://github.com/augmentcode/augment.vim,augment.vim
https://github.com/badabing2005/PixelFlasher,PixelFlasher
https://github.com/basecamp/omakub,omakub
https://github.com/basecamp/omarchy,omarchy
https://github.com/baskerville/xdo,xdo
https://github.com/BeardedTinker/Home-Assistant_Config,bearded.config
https://github.com/binhex/arch-qbittorrentvpn,arch-qbittorrentvpn
https://github.com/BreadOnPenguins/scripts,scripts
https://github.com/bremor/bureau_of_meteorology,bureau_of_meteorology
https://github.com/brenns10/tetris,tetris
https://github.com/bst04/payloads_flipperZero,payloads_flipperZero
https://github.com/bytedance/deer-flow,deer-flow
https://github.com/CedArctic/DigiSpark-Scripts,DigiSpark-Scripts
https://github.com/ClayAmore/ER-Save-Editor,ER-Save-Editor
https://github.com/cmang/durdraw,durdraw
https://github.com/cmatsuoka/figlet,figlet
https://github.com/comShadowHarvy/Atlas,Atlas
https://github.com/comShadowHarvy/CollectiveGenius-AutoGPT-Agent-Hub,CollectiveGenius-AutoGPT-Agent-Hub
https://github.com/cyberrumor/ammo,ammo
https://github.com/daboynb/linux_scripts,linux_scripts
https://github.com/dankamongmen/notcurses,notcurses
https://github.com/dbisu/pico-ducky,pico-ducky
https://github.com/deepseek-ai/DeepSeek-Coder,DeepSeek-Coder
https://github.com/dnhkng/GLaDOS,GLaDOS
https://github.com/Elius94/console-gui-tools,console-gui-tools
https://github.com/elkowar/eww,eww
https://github.com/emilianavt/OpenSeeFace,OpenSeeFace
https://github.com/FalsePhilosopher/badusb,badusb
https://github.com/felddy/foundryvtt-docker,foundryvtt-docker
https://github.com/FergusGriggs/20q,20q
https://github.com/FergusGriggs/Fegaria-Remastered,Fegaria-Remastered
https://github.com/FergusGriggs/Feggle,Feggle
https://github.com/FergusGriggs/pysweeper,pysweeper
https://github.com/FergusGriggs/Tower-Defence-Extravaganza,Tower-Defence-Extravaganza
https://github.com/FergusGriggs/Worms-Total-Carnage,Worms-Total-Carnage
https://github.com/geekau/mediastack,mediastack
https://github.com/giacomo-b/rust-stakeholder.git,rust-stakeholder
